區域,url,name,Google map 名稱
北,"https://www.google.com/maps/place/TKB+%E7%99%BE%E5%AE%98%E7%B6%B2/@24.9522404,121.225304,20z/data=!4m5!3m4!1s0x3468224927c2c0db:0x5b7eb2b26660a6a1!8m2!3d24.9522839!4d121.225338?hl=en-US",中壢學堂‧百官網公職,TKB 百官網
中,"https://www.google.com/maps/place/TKB+%E5%8F%B0%E4%B8%AD%E7%99%BE%E5%AE%98%E7%B6%B2/@24.1372194,120.6815233,19z/data=!3m1!4b1!4m5!3m4!1s0x34693d13e95aabad:0x20238abc0b1406fc!8m2!3d24.1372194!4d120.6820705",台中百官,TKB 台中數位學堂/台中百官網公職
南,"https://www.google.com/maps/place/TKB+%E7%99%BE%E5%AE%98%E7%B6%B2/@22.9972101,120.2066671,17.75z/data=!4m8!1m2!2m1!1z5Y-w5Y2XIOeZvuWumA!3m4!1s0x0:0x3be8f039351c664b!8m2!3d22.9975782!4d120.208438?hl=en-US",台南大碩‧百官網公職,TKB 台南百官網
南,"https://www.google.com/maps/place/TKB+%E7%99%BE%E5%AE%98%E7%B6%B2/@22.6359761,120.234139,12z/data=!4m8!1m2!2m1!1z6auY6ZuEIOeZvuWumA!3m4!1s0x0:0x8cadcbcb03202a41!8m2!3d22.6359761!4d120.3041768?hl=en-US",高雄大碩‧百官網公職,TKB高雄數位學堂(百官網公職)
北,"https://www.google.com/maps/place/%E9%BE%8D%E9%96%80%E8%BD%89%E5%AD%B8%E8%80%83/@25.0459135,121.512589,15z/data=!4m8!1m2!2m1!1z5Y-w5YyXIOm-jemWgA!3m4!1s0x0:0x6caca2a7cf57300b!8m2!3d25.0459696!4d121.5125442?hl=en-US",台北龍門,龍門轉學考
北,"https://www.google.com/maps/place/%E6%96%B0%E7%AB%B9%E9%BE%8D%E9%96%80%E8%BD%89%E5%AD%B8%E8%80%83/@24.8035727,120.9475712,13z/data=!4m8!1m2!2m1!1z5paw56u5IOm-jemWgA!3m4!1s0x0:0xf4ab98996647c360!8m2!3d24.8035746!4d120.9738278?hl=en-US",新竹學堂‧龍門,新竹龍門轉學考
中,"https://www.google.com/maps/place/%E5%8F%B0%E4%B8%AD%E9%BE%8D%E9%96%80%E8%BD%89%E5%AD%B8%E8%80%83/@24.137218,120.682069,15z/data=!4m5!3m4!1s0x0:0xef80ab4c96b51b94!8m2!3d24.137218!4d120.6820689?hl=en-US",台中大碩‧龍門,台中龍門轉學考/先修微積分/大學重考
南,"https://www.google.com/maps/place/%E9%BE%8D%E9%96%80%E8%BD%89%E5%AD%B8%E8%80%83/@22.9971823,120.2085394,18.75z/data=!4m5!3m4!1s0x0:0x1d18ab066d470978!8m2!3d22.9975784!4d120.208438?hl=en-US",台南大碩‧龍門,龍門轉學考
南,"https://www.google.com/maps/place/%E9%BE%8D%E9%96%80%E8%BD%89%E5%AD%B8%E8%80%83/@22.635982,120.304175,10z/data=!4m5!3m4!1s0x0:0x2c37dcaa5f6c89bd!8m2!3d22.6359816!4d120.3041751?hl=en-US",高雄大碩‧龍門,高雄龍門轉學考
北,"https://www.google.com/maps/place/%E5%8F%B0%E5%8C%97%E7%94%84%E6%88%B0%E5%AD%B8%E7%BF%92%E9%A1%A7%E5%95%8F%E4%B8%AD%E5%BF%83/@25.047152,121.512522,15z/data=!4m5!3m4!1s0x0:0xb850cf6b061f4531!8m2!3d25.047152!4d121.512522?hl=en-US",台北甄戰,台北甄戰學習顧問中心
北,"https://www.google.com/maps/place/%E6%A1%83%E5%9C%92%E7%94%84%E6%88%B0%E5%AD%B8%E7%BF%92%E9%A1%A7%E5%95%8F%E4%B8%AD%E5%BF%83/@24.989899,121.312038,15z/data=!4m5!3m4!1s0x0:0x9d2ce6edaba2829b!8m2!3d24.9898985!4d121.3120379?hl=en-US",桃園甄戰,桃園甄戰學習顧問
北,"https://www.google.com/maps/place/%E4%B8%AD%E5%A3%A2%E7%94%84%E6%88%B0%E5%AD%B8%E7%BF%92%E9%A1%A7%E5%95%8F/@24.952097,121.225261,15z/data=!4m5!3m4!1s0x0:0xd4118db72172cb24!8m2!3d24.9520969!4d121.2252611?hl=en-US",中壢甄戰,中壢甄戰學習顧問
北,"https://www.google.com/maps/place/%E6%96%B0%E7%AB%B9%E7%94%84%E6%88%B0%E5%AD%B8%E7%BF%92%E9%A1%A7%E5%95%8F%E4%B8%AD%E5%BF%83/@24.803573,120.973828,15z/data=!4m5!3m4!1s0x0:0xa13fde8fec5ff179!8m2!3d24.8035731!4d120.9738282?hl=en-US",新竹甄戰,新竹甄戰學習顧問中心
中,"https://www.google.com/maps/place/%E5%8F%B0%E4%B8%AD%E7%94%84%E6%88%B0%E5%AD%B8%E7%BF%92%E9%A1%A7%E5%95%8F%E4%B8%AD%E5%BF%83(%E5%A4%A7%E7%A2%A9%E5%BE%A9%E8%88%88%E6%95%99%E5%AE%A4)/@24.134245,120.681997,15z/data=!4m5!3m4!1s0x0:0xc63573b4cbb2f17b!8m2!3d24.134245!4d120.681997?hl=en-US",台中甄戰,台中甄戰學習顧問中心(大碩復興教室)
南,"https://www.google.com/maps/place/%E9%AB%98%E5%B1%8F%E7%94%84%E6%88%B0%E5%AD%B8%E7%BF%92%E9%A1%A7%E5%95%8F%E4%B8%AD%E5%BF%83/@22.6354383,120.3043742,18.75z/data=!4m5!3m4!1s0x0:0x25c4566072d4b807!8m2!3d22.6359816!4d120.3041751?hl=en-US",高雄甄戰,高雄甄戰學習顧問
南,"https://www.google.com.tw/maps/place/%E5%98%89%E5%8D%97%E7%94%84%E6%88%B0%E5%AD%B8%E7%BF%92%E9%A1%A7%E5%95%8F/@22.9975784,120.2078908,19z/data=!3m1!4b1!4m5!3m4!1s0x346e768b0757ff11:0xc6334e1dc9cf8eac!8m2!3d22.9975784!4d120.208438?hl=en",嘉南甄戰,嘉南甄戰學習顧問
北,"https://www.google.com.tw/maps/place/%E6%B7%A1%E6%B0%B4%E6%B4%8B%E7%A2%A9%E7%BE%8E%E8%AA%9E/@25.176624,121.4460893,17z/data=!3m1!4b1!4m5!3m4!1s0x3442af963d153c5d:0xeb40b2af2cd9a756!8m2!3d25.176624!4d121.448278?hl=en",淡水洋碩美語,淡水洋碩美語
北,"https://www.google.com.tw/maps/place/TKB+digital+school/@25.1766192,121.4481178,19z/data=!4m8!1m2!2m1!1z5reh5rC05a245aCC!3m4!1s0x3442aff7ae2a02e5:0xb889cddd5107e510!8m2!3d25.1766528!4d121.4482825?hl=en",淡水學堂,TKB數位學堂（大碩研究所、百官網公職、國考、洋碩美語、甄戰一點通）
北,"https://www.google.com.tw/maps/place/TKB%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82(%E5%AE%9C%E8%98%AD%E5%AD%B8%E5%A0%82)/@24.7509908,121.7477725,17z/data=!3m1!4b1!4m5!3m4!1s0x3467e4e655555555:0x4fde9934672d5365!8m2!3d24.7509908!4d121.7499612?hl=en",TKB數位學堂(宜蘭學堂),TKB宜蘭數位學堂（研究所/公職國營/大學轉學考/高中升大/國中升高/多益/雅思/托福/GRE/GMAT）
東,"https://www.google.com.tw/maps/place/TKB+digital+school/@23.9057066,121.4979123,13z/data=!4m8!1m2!2m1!1zVEtC5aO96LGQ5pW45L2N5a245aCC!3m4!1s0x3468a3e0e6db7ef1:0x9278b0b6695c0f20!8m2!3d23.9057066!4d121.5329312?hl=en",TKB壽豐數位學堂,TKB壽豐數位學堂(研究所/國營公職/大學轉學考/高中升大/國中升高中/多益/雅思/托福/GRE/GMAT)
